,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3
Winter_Braddock_1,0.978166,0.994690,0.984344,0.982582,0.982563,0.982542,0.996304,0.995916,0.996834,0.991736,0.989454,0.980619,0.994728,0.984279,0.986734,0.987479,0.995859,0.982382,0.990909,0.962957,0.967988,0.989474,0.975838,0.963577,0.973028,0.942800,0.954172,0.962952,0.962553,0.979730,0.973333,0.958838,0.967594,0.972200,0.881638,0.915194,0.000000,0.883483,0.903242,0.893726,0.811276,0.784324,0.855104,0.911858,0.841694,0.857873,0.875248,0.793068,0.864431
Winter_Braddock_2,0.960202,0.943730,0.972212,0.935583,0.936946,0.937410,0.987067,0.992128,0.989567,0.978055,0.971377,0.935796,0.968221,0.958749,0.979887,0.946128,0.950526,0.938080,0.947351,0.817073,0.767289,0.978397,0.775829,0.829610,0.695955,0.738555,0.761255,0.777096,0.782447,0.792680,0.766649,0.775172,0.777892,0.766245,0.542450,0.606843,0.883483,0.000000,0.397346,0.801926,0.474826,0.416476,0.440393,0.530347,0.535817,0.497835,0.729443,0.638900,0.605709
Winter_Braddock_3,0.963237,0.948685,0.974838,0.940644,0.940987,0.944696,0.987934,0.992699,0.990186,0.979770,0.973307,0.953631,0.971005,0.962347,0.981503,0.951771,0.954150,0.944698,0.951764,0.798921,0.754190,0.981345,0.778720,0.820938,0.706446,0.726434,0.795016,0.818138,0.855435,0.859476,0.798087,0.824328,0.799904,0.791083,0.507134,0.563188,0.903242,0.397346,0.000000,0.812932,0.511232,0.513793,0.410813,0.568008,0.454723,0.440656,0.698320,0.640434,0.630321
Winter_Control_2,0.971814,0.995677,0.987500,0.982895,0.977761,0.988757,0.996811,0.992472,0.997213,0.996224,0.994652,0.988121,0.986390,0.987170,0.988957,0.994721,0.996485,0.981452,0.995913,0.952010,0.962264,0.983092,0.962380,0.960672,0.933946,0.954584,0.946271,0.955894,0.951484,0.955121,0.950432,0.946073,0.952997,0.962116,0.853838,0.872086,0.893726,0.801926,0.812932,0.000000,0.790095,0.835649,0.849444,0.872480,0.822239,0.840390,0.852524,0.828087,0.861963
Winter_Monongahela_1,0.961027,0.955157,0.973164,0.936585,0.937745,0.943477,0.990221,0.992731,0.990065,0.978794,0.972042,0.936785,0.977358,0.959713,0.980637,0.951586,0.958157,0.943385,0.955541,0.832606,0.798470,0.988758,0.819808,0.854173,0.768100,0.773450,0.802846,0.808749,0.813882,0.833287,0.821756,0.806239,0.813299,0.826595,0.605280,0.674258,0.811276,0.474826,0.511232,0.790095,0.000000,0.406510,0.513206,0.587661,0.499289,0.480659,0.641219,0.584006,0.569613
Winter_Monongahela_2,0.962213,0.947777,0.973342,0.939967,0.940427,0.942423,0.986679,0.991271,0.989046,0.978447,0.972255,0.940110,0.969688,0.961195,0.980114,0.950626,0.953307,0.946188,0.950844,0.768340,0.725322,0.968526,0.735887,0.792116,0.691563,0.684157,0.756575,0.738353,0.738668,0.786571,0.745536,0.752171,0.777200,0.749686,0.494743,0.543174,0.784324,0.416476,0.513793,0.835649,0.406510,0.000000,0.365959,0.478472,0.405112,0.379421,0.615049,0.503255,0.480141
Winter_Monongahela_3,0.955165,0.938735,0.965248,0.931519,0.933602,0.931868,0.981606,0.985999,0.984669,0.979058,0.966500,0.945071,0.961992,0.953033,0.973645,0.939992,0.946108,0.933865,0.942428,0.766214,0.697793,0.980167,0.709023,0.774705,0.647247,0.670632,0.737132,0.762104,0.791925,0.812099,0.749156,0.768137,0.763776,0.749401,0.433241,0.453688,0.855104,0.440393,0.410813,0.849444,0.513206,0.365959,0.000000,0.486514,0.380129,0.348583,0.729614,0.622352,0.572159
Winter_Neville_1,0.965815,0.955586,0.971580,0.949042,0.948099,0.948109,0.984687,0.990488,0.986775,0.984067,0.973368,0.949071,0.971715,0.964529,0.979448,0.958603,0.957251,0.948294,0.957597,0.702473,0.647584,0.988300,0.662232,0.703523,0.635396,0.674682,0.765664,0.760415,0.779048,0.796764,0.746865,0.754619,0.756460,0.723020,0.404590,0.390441,0.911858,0.530347,0.568008,0.872480,0.587661,0.478472,0.486514,0.000000,0.412287,0.442854,0.690407,0.635381,0.540808
Winter_Neville_2,0.961806,0.948037,0.968464,0.940552,0.940893,0.938862,0.985368,0.991144,0.987797,0.983109,0.971501,0.952756,0.968851,0.959614,0.978862,0.950763,0.951304,0.939540,0.950944,0.764195,0.713609,0.983238,0.676635,0.755469,0.642316,0.655539,0.778488,0.818552,0.850427,0.865427,0.799143,0.819454,0.766712,0.733603,0.361714,0.411170,0.841694,0.535817,0.454723,0.822239,0.499289,0.405112,0.380129,0.412287,0.000000,0.290244,0.672704,0.597928,0.501421
Winter_Neville_3,0.964721,0.951292,0.972707,0.943436,0.943272,0.941576,0.988057,0.992583,0.990198,0.980366,0.974140,0.943536,0.972214,0.962908,0.982016,0.954609,0.954057,0.942980,0.954069,0.735328,0.686298,0.983089,0.644005,0.745349,0.604223,0.625668,0.716374,0.785455,0.809345,0.805262,0.723099,0.763772,0.747373,0.723577,0.373811,0.366015,0.857873,0.497835,0.440656,0.840390,0.480659,0.379421,0.348583,0.442854,0.290244,0.000000,0.586824,0.543825,0.508699
Winter_Sharpsburg_1,0.976894,0.990105,0.978794,0.979530,0.975538,0.984888,0.992419,0.994888,0.993283,0.991199,0.990472,0.971561,0.990154,0.981618,0.984733,0.988283,0.989669,0.974895,0.990572,0.844764,0.840326,0.990539,0.800795,0.856274,0.787817,0.705602,0.880742,0.884228,0.884712,0.918658,0.863176,0.897148,0.883157,0.867976,0.680907,0.659832,0.875248,0.729443,0.698320,0.852524,0.641219,0.615049,0.729614,0.690407,0.672704,0.586824,0.000000,0.435286,0.458849
Winter_Sharpsburg_2,0.968886,0.961587,0.973649,0.962328,0.958228,0.965608,0.989911,0.994811,0.991925,0.984349,0.977295,0.953876,0.978070,0.965689,0.983903,0.975309,0.967488,0.957471,0.962830,0.836247,0.799670,0.981518,0.816573,0.853373,0.774343,0.763446,0.778260,0.830364,0.856779,0.875645,0.828614,0.866351,0.822307,0.838021,0.554833,0.624132,0.793068,0.638900,0.640434,0.828087,0.584006,0.503255,0.622352,0.635381,0.597928,0.543825,0.435286,0.000000,0.437158
Winter_Sharpsburg_3,0.965362,0.954017,0.971673,0.946992,0.946293,0.951776,0.985844,0.987921,0.987974,0.978899,0.973588,0.947044,0.971817,0.963892,0.980286,0.957164,0.956049,0.955906,0.956289,0.766957,0.735889,0.986610,0.742788,0.765687,0.715695,0.677365,0.805036,0.791224,0.815991,0.846715,0.798450,0.797281,0.791507,0.781165,0.539496,0.546820,0.864431,0.605709,0.630321,0.861963,0.569613,0.480141,0.572159,0.540808,0.501421,0.508699,0.458849,0.437158,0.000000
